TransactionID,Date,ProductID,TransactionType,Quantity,BatchNumber,SupplierID,WarehouseLocation,ExpiryDate,UnitCost,EmployeeID,ReferencePO,ReasonCode,StockLevelAfter
T010676,7/30/2023,P01533,Sale,-47,BATCH-2241,,B21,7/15/2024,34.77,EMP016,,,2110
T010677,3/7/2022,P01067,Adjustment,16,BATCH-2194,,B40,1/7/2025,27.88,EMP018,,DAMAGE,3076
T010678,5/1/2023,P00404,Sale,-67,BATCH-8395,,B07,4/8/2026,18.92,EMP036,,,4080
T010679,5/9/2022,P00330,Purchase,1563,BATCH-7357,SUP008,D35,1/14/2023,10.08,EMP035,PO-2022-00818,,7592
T010680,5/6/2023,P00552,Purchase,2850,BATCH-5089,SUP012,C06,2/15/2024,23.66,EMP046,PO-2022-00831,,10221
T010681,6/8/2023,P01642,Sale,-86,BATCH-5064,,C43,7/3/2024,45.34,EMP049,,,4418
T010682,11/2/2023,P01326,Purchase,2306,BATCH-1775,SUP022,B28,5/18/2025,28.54,EMP026,,,9045
T010683,12/11/2022,P01126,Adjustment,4,BATCH-4072,,B09,12/24/2023,46.39,EMP002,,EXPIRED,3116
T010684,11/16/2022,P01809,Sale,-48,BATCH-5382,,A12,8/25/2025,39.04,EMP016,,,8130
T010685,11/3/2023,P01298,Purchase,1879,BATCH-1112,SUP142,D42,12/8/2025,47.44,EMP046,,,7841
T010686,10/25/2022,P01015,Purchase,335,BATCH-8609,SUP107,B40,8/5/2025,36.04,EMP004,PO-2022-03644,,3596
T010687,12/18/2022,P01168,Sale,-40,BATCH-2114,,B31,9/7/2023,49.15,EMP049,,,1884
T010688,12/25/2023,P00608,Adjustment,11,BATCH-2325,,B43,1/16/2026,31.11,EMP027,,RETURN,9685
T010689,8/20/2023,P00487,Purchase,1608,BATCH-3675,SUP035,C40,3/2/2025,49.86,EMP024,,,6387
T010690,11/24/2023,P01557,Purchase,2896,BATCH-4970,SUP104,C46,3/13/2025,25.21,EMP001,,,12849
T010691,8/19/2023,P00725,Purchase,2061,BATCH-6018,SUP135,A22,10/27/2024,36.71,EMP025,,,9166
T010692,2/20/2023,P01823,Sale,-77,BATCH-9466,,B06,12/13/2025,47.27,EMP019,,,2108
T010693,5/23/2022,P01838,Transfer,97,BATCH-5402,,D43,2/22/2025,11.65,EMP013,,,3686
T010694,10/26/2023,P00758,Purchase,704,BATCH-2457,SUP035,C03,10/29/2025,27.11,EMP046,PO-2022-00326,,6840
T010695,8/23/2023,P00821,Purchase,1540,BATCH-7158,SUP067,C02,2/8/2025,49.91,EMP032,PO-2022-00036,,9212
T010696,10/29/2022,P01180,Sale,-26,BATCH-7395,,B08,10/19/2023,46.16,EMP047,,,2794
T010697,7/29/2023,P00303,Sale,-79,BATCH-8626,,B48,8/20/2024,7.91,EMP001,,,6238
T010698,2/7/2023,P01987,Sale,-46,BATCH-4654,,B04,7/25/2025,35.29,EMP030,,,3452
T010699,8/19/2022,P00731,Adjustment,-8,BATCH-6546,,B06,8/6/2024,29.59,EMP044,,DAMAGE,10102
T010700,12/16/2023,P01357,Purchase,2621,BATCH-4990,SUP047,D21,6/21/2026,46.73,EMP038,,,11345
T010701,12/25/2023,P00600,Sale,-2,BATCH-6586,,C31,11/28/2025,30.55,EMP039,,,5020
T010702,1/31/2023,P01947,Sale,-74,BATCH-1687,,C18,11/29/2024,19.72,EMP038,,,7547
T010703,4/5/2023,P01142,Write-off,-50,BATCH-2574,,D40,9/16/2024,9.69,EMP010,,EXPIRED,7202
T010704,9/19/2022,P01335,Sale,-22,BATCH-6764,,C47,5/21/2024,6.08,EMP010,,,2740
T010705,7/13/2023,P00219,Sale,-10,BATCH-9485,,B10,3/31/2026,35.08,EMP017,,,9118
T010706,8/14/2023,P01579,Purchase,2275,BATCH-7335,SUP071,D28,5/4/2026,21.71,EMP027,,,8617
T010707,10/5/2022,P01755,Purchase,296,BATCH-5790,SUP088,D49,6/26/2024,31.68,EMP049,PO-2022-02080,,8093
T010708,9/28/2022,P01095,Purchase,2537,BATCH-6040,SUP098,D36,9/4/2023,26.15,EMP008,PO-2022-00804,,8586
T010709,4/21/2022,P01625,Sale,-11,BATCH-1255,,A27,12/29/2022,20.15,EMP013,,,8741
T010710,8/11/2023,P01035,Purchase,518,BATCH-8816,SUP051,D06,11/4/2025,18.18,EMP007,PO-2022-04673,,11713
T010711,12/18/2023,P00863,Sale,-88,BATCH-6201,,C01,10/27/2025,37.07,EMP006,,,8182
T010712,6/8/2023,P00769,Purchase,1628,BATCH-8310,SUP123,C33,3/23/2025,9.85,EMP019,PO-2022-02039,,7333
T010713,5/19/2022,P01141,Sale,-75,BATCH-6997,,B03,12/29/2024,8.08,EMP016,,,3983
T010714,4/24/2023,P00267,Purchase,1716,BATCH-7058,SUP120,C15,10/21/2024,9.53,EMP043,PO-2022-00065,,4212
T010715,10/28/2023,P00674,Purchase,2178,BATCH-7705,SUP024,C39,8/11/2026,25.5,EMP010,PO-2022-01972,,8698
T010716,6/12/2023,P00051,Sale,-39,BATCH-1253,,D37,7/16/2025,3.35,EMP035,,,11668
T010717,3/17/2022,P01068,Sale,-38,BATCH-2211,,B48,12/31/2022,43.11,EMP025,,,4176
T010718,4/16/2023,P00840,Adjustment,13,BATCH-8573,,A04,1/7/2026,41.8,EMP024,,RETURN,5556
T010719,3/1/2022,P01343,Purchase,931,BATCH-2148,SUP091,B17,8/4/2023,37.83,EMP032,,,2497
T010720,12/18/2022,P00844,Adjustment,-8,BATCH-4839,,C02,8/23/2023,21.72,EMP045,,COUNT_ERROR,4593
T010721,1/9/2022,P00777,Sale,-81,BATCH-3734,,B16,2/22/2024,10.44,EMP032,,,6173
T010722,2/23/2022,P01935,Sale,-78,BATCH-3118,,B46,4/18/2023,19.86,EMP039,,,5019
T010723,11/1/2022,P00090,Purchase,1357,BATCH-7659,SUP040,B40,8/4/2023,3.99,EMP023,,,3330
T010724,9/26/2023,P00677,Purchase,2457,BATCH-5589,SUP112,D48,3/18/2026,29.18,EMP049,PO-2022-02978,,10353
T010725,5/2/2022,P01971,Purchase,2914,BATCH-7764,SUP129,D02,7/1/2024,44.24,EMP016,,,8560
T010726,1/20/2022,P01396,Sale,-29,BATCH-8985,,A22,4/10/2024,3.92,EMP020,,,4850
T010727,4/25/2023,P00541,Sale,-87,BATCH-7313,,B48,1/23/2026,42.8,EMP012,,,10883
T010728,5/8/2022,P00256,Purchase,610,BATCH-7149,SUP093,A01,1/30/2024,44.44,EMP026,PO-2022-01303,,1308
T010729,4/24/2022,P01741,Purchase,273,BATCH-2131,SUP137,B23,7/23/2024,22.04,EMP033,PO-2022-03483,,5944
T010730,3/14/2023,P00129,Sale,-22,BATCH-5158,,A21,4/11/2025,43.48,EMP029,,,1031
T010731,3/10/2022,P01075,Purchase,601,BATCH-8933,SUP104,C10,11/18/2024,32.44,EMP018,PO-2022-02764,,8749
T010732,5/29/2023,P00463,Sale,-11,BATCH-8338,,A43,9/1/2024,14.17,EMP023,,,2825
T010733,5/16/2022,P00063,Transfer,59,BATCH-9294,,A26,3/7/2024,27.75,EMP001,,,6220
T010734,5/8/2023,P01343,Sale,-41,BATCH-3518,,A11,6/30/2025,37.83,EMP008,,,2456
T010735,6/26/2023,P01359,Sale,-64,BATCH-4111,,D38,4/30/2025,10.79,EMP011,,,8407
T010736,9/20/2023,P01968,Sale,-73,BATCH-9161,,A32,8/16/2026,22.92,EMP012,,,9940
T010737,9/3/2022,P01135,Purchase,2235,BATCH-5644,SUP089,C14,8/23/2023,4.6,EMP034,,,6867
T010738,7/5/2023,P01408,Purchase,727,BATCH-7697,SUP052,B02,6/22/2025,27.68,EMP005,,,5579
T010739,2/28/2023,P01670,Sale,-74,BATCH-7595,,A20,9/4/2024,14.8,EMP018,,,10437
T010740,9/15/2022,P00013,Purchase,863,BATCH-7187,SUP125,D37,6/5/2025,16.24,EMP026,,,1857
T010741,11/16/2022,P01932,Sale,-23,BATCH-4198,,D02,6/1/2023,18.92,EMP047,,,5406
T010742,8/5/2023,P00552,Purchase,726,BATCH-4855,SUP065,B42,6/13/2026,23.66,EMP009,PO-2022-00148,,10947
T010743,6/30/2023,P00572,Transfer,60,BATCH-3227,,A25,9/1/2024,35.8,EMP042,,,7480
T010744,3/24/2022,P00462,Transfer,83,BATCH-7144,,A36,4/29/2024,26.17,EMP025,,,3981
T010745,3/18/2023,P00573,Sale,-6,BATCH-7428,,A07,9/27/2023,45.9,EMP029,,,7360
T010746,12/31/2023,P00674,Purchase,1754,BATCH-4578,SUP058,D09,3/8/2026,25.5,EMP018,PO-2022-02659,,10452
T010747,7/8/2022,P01178,Sale,-8,BATCH-5743,,C47,10/27/2024,23.95,EMP022,,,2296
T010748,6/18/2022,P01105,Sale,-91,BATCH-6417,,A17,9/27/2023,2.88,EMP017,,,7263
T010749,4/18/2022,P01378,Purchase,1335,BATCH-9754,SUP067,B50,6/15/2023,37.65,EMP036,PO-2022-03984,,7550
T010750,10/26/2022,P00083,Sale,-5,BATCH-1393,,B36,8/9/2024,45.3,EMP026,,,11747
T010751,11/21/2023,P01536,Sale,-52,BATCH-5390,,B11,1/1/2025,7.1,EMP025,,,8052
T010752,1/15/2022,P00871,Sale,-16,BATCH-2061,,B14,5/12/2023,27.12,EMP044,,,7921
T010753,12/15/2023,P00498,Purchase,1361,BATCH-8499,SUP115,A45,9/23/2025,33.44,EMP002,PO-2022-04424,,6668
T010754,2/18/2022,P01638,Purchase,588,BATCH-2925,SUP094,D32,5/23/2024,36.16,EMP048,PO-2022-00470,,9629
T010755,3/4/2023,P00059,Purchase,2546,BATCH-7810,SUP098,D22,5/14/2024,19.51,EMP020,PO-2022-00256,,5829
T010756,6/22/2022,P00190,Purchase,539,BATCH-2174,SUP112,C14,5/25/2024,34.78,EMP018,,,4436
T010757,10/21/2023,P01078,Purchase,2168,BATCH-1683,SUP144,A23,8/10/2025,4.82,EMP037,PO-2022-01312,,5646
T010758,7/20/2023,P00113,Purchase,2165,BATCH-7909,SUP047,A28,6/4/2024,6.42,EMP014,PO-2022-02620,,8112
T010759,5/4/2023,P00734,Purchase,838,BATCH-4641,SUP054,A40,4/16/2024,26.04,EMP022,,,10714
T010760,11/6/2023,P00230,Purchase,435,BATCH-6505,SUP084,C36,12/9/2025,28.28,EMP019,,,4026
T010761,5/13/2023,P02000,Purchase,2275,BATCH-1652,SUP099,C35,8/13/2024,12.07,EMP040,PO-2022-02594,,7172
T010762,6/17/2022,P01381,Sale,-79,BATCH-7057,,C01,7/1/2023,22.01,EMP027,,,3639
T010763,2/10/2023,P00404,Purchase,2681,BATCH-7674,SUP085,C43,8/3/2025,18.92,EMP011,PO-2022-00886,,6761
T010764,9/25/2022,P00006,Purchase,1370,BATCH-3093,SUP105,B13,7/25/2023,12.81,EMP022,PO-2022-01735,,13127
T010765,10/6/2022,P01622,Adjustment,-19,BATCH-7882,,A27,12/30/2024,11.9,EMP001,,DAMAGE,7481
T010766,5/3/2023,P00813,Transfer,37,BATCH-1442,,C18,2/2/2025,46.46,EMP043,,,7021
T010767,10/30/2022,P01814,Write-off,-72,BATCH-5852,,A17,2/20/2025,5.66,EMP025,,RETURN,8920
T010768,8/19/2023,P01807,Adjustment,1,BATCH-1909,,C20,7/25/2025,16.25,EMP010,,DAMAGE,7801
T010769,10/7/2023,P01873,Purchase,1666,BATCH-4229,SUP048,A43,6/3/2026,14.37,EMP012,PO-2022-04045,,7111
T010770,2/21/2023,P01805,Purchase,1513,BATCH-1987,SUP026,B49,11/8/2024,44.63,EMP024,,,6296
T010771,1/10/2022,P01172,Sale,-52,BATCH-4609,,C46,4/9/2023,16.48,EMP016,,,6268
T010772,3/15/2022,P00560,Sale,-47,BATCH-7360,,B34,2/12/2024,43.78,EMP025,,,6726
T010773,6/1/2023,P00708,Sale,-15,BATCH-8075,,C15,1/19/2025,45.56,EMP011,,,4824
T010774,6/10/2022,P01448,Purchase,984,BATCH-1654,SUP039,A48,5/14/2023,49.76,EMP049,PO-2022-04525,,10486
T010775,1/27/2023,P00070,Purchase,807,BATCH-4917,SUP117,C03,1/17/2025,3.13,EMP046,PO-2022-04065,,3364
T010776,4/5/2023,P01834,Purchase,2334,BATCH-2773,SUP077,C35,8/2/2024,34.97,EMP033,PO-2022-04455,,6188
T010777,3/13/2023,P00135,Purchase,2496,BATCH-7828,SUP129,B32,5/4/2024,9.92,EMP030,PO-2022-00351,,5592
T010778,4/14/2023,P01254,Purchase,929,BATCH-6019,SUP105,D29,12/12/2024,3.57,EMP020,,,5530
T010779,2/19/2023,P00047,Sale,-13,BATCH-9391,,A45,3/9/2024,22.68,EMP006,,,5116
T010780,11/9/2022,P01495,Sale,-55,BATCH-7546,,C34,5/30/2025,49.09,EMP039,,,6477
T010781,9/1/2023,P00176,Write-off,-81,BATCH-3448,,C45,5/1/2025,37.73,EMP008,,THEFT,5535
T010782,4/18/2023,P00448,Purchase,279,BATCH-3092,SUP044,C15,2/3/2024,10.3,EMP002,PO-2022-03176,,13786
T010783,8/8/2023,P01330,Transfer,99,BATCH-7658,,B04,5/11/2026,38.91,EMP043,,,2843
T010784,11/3/2023,P00506,Sale,-30,BATCH-2607,,A01,7/26/2026,20.14,EMP049,,,3868
T010785,3/3/2022,P00786,Write-off,-55,BATCH-3955,,C44,5/24/2024,43.61,EMP042,,RETURN,7413
T010786,9/21/2023,P01969,Sale,-57,BATCH-6959,,C43,5/25/2024,37.63,EMP012,,,2680
T010787,3/21/2022,P01088,Purchase,2390,BATCH-9845,SUP038,B42,11/30/2022,9.63,EMP019,PO-2022-02708,,7739
T010788,7/29/2022,P00177,Sale,-28,BATCH-3397,,C04,6/9/2023,41.12,EMP040,,,5768
T010789,6/23/2022,P01976,Purchase,828,BATCH-7803,SUP031,B27,5/23/2025,39.24,EMP030,PO-2022-00266,,7118
T010790,4/13/2022,P00584,Return,16,BATCH-6520,,C38,3/11/2025,43.04,EMP006,,RETURN,5776
T010791,12/5/2022,P01062,Purchase,1105,BATCH-5683,SUP144,A16,10/3/2023,12.18,EMP025,PO-2022-02551,,10073
T010792,3/11/2023,P01296,Sale,-64,BATCH-1798,,D33,11/23/2024,1.96,EMP017,,,10985
T010793,6/23/2023,P00515,Purchase,1477,BATCH-1153,SUP004,B24,12/8/2024,21.74,EMP014,PO-2022-02503,,15741
T010794,2/25/2022,P00022,Purchase,1646,BATCH-3529,SUP079,B40,11/20/2023,30.87,EMP009,PO-2022-04856,,16354
T010795,7/11/2023,P01946,Sale,-52,BATCH-8584,,B10,6/22/2025,49.76,EMP021,,,4464
T010796,8/27/2022,P01769,Sale,-11,BATCH-6063,,C45,12/13/2024,13.8,EMP034,,,3751
T010797,2/20/2022,P01728,Sale,-16,BATCH-5766,,B48,8/12/2024,27.39,EMP043,,,8089
T010798,11/25/2023,P00506,Sale,-7,BATCH-7865,,A13,9/26/2024,20.14,EMP032,,,3861
T010799,1/12/2023,P00595,Write-off,-40,BATCH-5810,,B31,12/31/2024,29.31,EMP040,,THEFT,4393
T010800,4/4/2022,P01726,Sale,-11,BATCH-2184,,C43,1/17/2023,1.81,EMP036,,,11540
T010801,1/29/2023,P00148,Sale,-99,BATCH-6514,,B09,8/1/2025,47.26,EMP012,,,5556
T010802,2/15/2022,P01927,Purchase,464,BATCH-8035,SUP149,D32,8/28/2022,34.77,EMP040,PO-2022-02215,,9034
T010803,1/19/2022,P01704,Adjustment,-23,BATCH-3097,,C48,1/1/2024,16.11,EMP005,,OTHER,4786
T010804,1/1/2022,P01145,Sale,-36,BATCH-7685,,A33,10/14/2022,40.49,EMP026,,,5142
T010805,7/10/2022,P01143,Sale,-32,BATCH-9329,,B43,1/16/2023,23.67,EMP038,,,5944
T010806,12/15/2022,P01994,Return,1,BATCH-7089,,B34,12/6/2023,30.15,EMP030,,RETURN,3395
T010807,7/27/2023,P01208,Sale,-50,BATCH-9462,,C19,5/28/2025,7.21,EMP030,,,3934
T010808,4/22/2022,P01255,Sale,-25,BATCH-4260,,B06,8/23/2023,1.15,EMP029,,,5811
T010809,11/17/2022,P00693,Purchase,2424,BATCH-7038,SUP088,A01,4/9/2024,4.09,EMP012,PO-2022-03024,,16564
T010810,2/3/2023,P01962,Purchase,1361,BATCH-9753,SUP033,A17,5/14/2024,26.93,EMP033,PO-2022-02540,,6454
T010811,3/11/2023,P01111,Sale,-92,BATCH-7661,,C01,7/5/2025,38.71,EMP014,,,4562
T010812,4/9/2023,P00601,Purchase,297,BATCH-3767,SUP102,B49,8/24/2024,12.09,EMP044,PO-2022-02785,,11177
T010813,8/9/2023,P01463,Sale,-34,BATCH-4513,,A02,10/27/2025,28.57,EMP015,,,5193
T010814,10/17/2022,P01156,Purchase,1264,BATCH-7821,SUP080,D49,5/27/2025,13.42,EMP018,PO-2022-00373,,6670
T010815,8/30/2022,P00102,Sale,-22,BATCH-6622,,B50,6/20/2025,38.62,EMP012,,,4740
T010816,3/8/2023,P01326,Return,42,BATCH-9700,,C26,10/8/2025,28.54,EMP011,,RETURN,9087
T010817,11/7/2022,P01561,Adjustment,23,BATCH-1372,,D46,8/23/2024,41.44,EMP048,,EXPIRED,5607
T010818,8/14/2022,P00922,Sale,-6,BATCH-9106,,B35,8/26/2024,27.66,EMP008,,,6888
T010819,7/22/2022,P00802,Purchase,1242,BATCH-2702,SUP043,C03,2/7/2025,14.64,EMP046,PO-2022-04741,,5829
T010820,8/11/2023,P00268,Purchase,2604,BATCH-7577,SUP035,D29,11/10/2024,26.22,EMP027,PO-2022-00717,,6823
T010821,6/27/2022,P00401,Sale,-44,BATCH-1866,,C06,6/1/2023,2.16,EMP038,,,6548
T010822,5/8/2023,P00816,Sale,-28,BATCH-1262,,A18,11/26/2025,7.54,EMP044,,,7665
T010823,8/9/2023,P01419,Sale,-34,BATCH-6086,,D16,12/14/2025,21.64,EMP017,,,3990
T010824,2/18/2022,P00599,Purchase,333,BATCH-8125,SUP026,C32,1/1/2024,3.99,EMP017,PO-2022-01348,,6631
T010825,3/26/2023,P01430,Purchase,1991,BATCH-3018,SUP121,D42,8/13/2024,32.44,EMP007,,,10887
T010826,5/31/2023,P01945,Purchase,867,BATCH-1455,SUP089,C27,4/18/2024,46.32,EMP044,PO-2022-03999,,6308
T010827,6/20/2023,P01662,Purchase,1766,BATCH-2468,SUP136,A04,6/6/2025,20.67,EMP016,,,5702
T010828,12/4/2023,P00638,Purchase,2678,BATCH-9599,SUP086,C04,2/9/2025,7.48,EMP045,PO-2022-04342,,11831
T010829,5/19/2023,P00215,Sale,-1,BATCH-7385,,D17,12/1/2023,32.91,EMP008,,,6081
T010830,2/26/2022,P01109,Sale,-55,BATCH-4147,,D31,2/13/2024,47.68,EMP033,,,3667
T010831,6/7/2022,P00606,Transfer,41,BATCH-8875,,C49,1/28/2024,30.44,EMP029,,,6539
T010832,1/8/2022,P01204,Purchase,2929,BATCH-1502,SUP092,C43,4/6/2024,31.17,EMP030,,,7131
T010833,11/23/2022,P00283,Write-off,-41,BATCH-5321,,C25,7/21/2023,39.24,EMP039,,THEFT,6851
T010834,9/29/2023,P00991,Write-off,-30,BATCH-5537,,D11,12/27/2025,15.44,EMP014,,RETURN,6493
T010835,1/26/2023,P01387,Purchase,918,BATCH-9715,SUP076,A31,11/15/2023,25.75,EMP027,,,5873
T010836,12/1/2022,P00599,Purchase,1524,BATCH-2712,SUP040,C17,5/16/2024,3.99,EMP049,,,8155
T010837,10/3/2022,P01034,Purchase,2612,BATCH-7879,SUP054,B12,2/7/2025,17.94,EMP018,,,7013
T010838,3/1/2022,P00329,Sale,-32,BATCH-7408,,A39,11/17/2023,37.42,EMP018,,,9661
T010839,6/20/2023,P01538,Purchase,2582,BATCH-3365,SUP091,B12,5/6/2026,44.78,EMP040,,,5832
T010840,11/23/2022,P01362,Purchase,799,BATCH-6489,SUP108,B14,5/31/2024,37.2,EMP034,PO-2022-02436,,1593
T010841,11/20/2022,P00207,Sale,-86,BATCH-8689,,D30,2/24/2024,42.36,EMP009,,,10772
T010842,1/5/2022,P01182,Sale,-14,BATCH-4003,,C13,9/3/2024,39.82,EMP028,,,9803
T010843,2/3/2023,P00624,Transfer,77,BATCH-7283,,B16,9/16/2025,46.28,EMP023,,,6491
T010844,10/31/2022,P00161,Purchase,491,BATCH-4870,SUP132,B29,6/7/2024,41.48,EMP024,,,11776
T010845,9/11/2022,P01477,Purchase,1048,BATCH-8123,SUP092,D33,11/11/2023,41.68,EMP026,PO-2022-00038,,3036
T010846,10/29/2022,P00153,Sale,-11,BATCH-6993,,B28,6/26/2025,21.91,EMP024,,,5460
T010847,11/25/2022,P01922,Return,17,BATCH-4215,,C33,10/19/2024,16.84,EMP032,,RETURN,6297
T010848,10/31/2022,P01591,Purchase,992,BATCH-2884,SUP128,C24,6/13/2024,4.88,EMP035,,,10006
T010849,5/15/2023,P01165,Purchase,1406,BATCH-9852,SUP082,D20,4/13/2024,19.97,EMP030,,,6734
T010850,2/7/2022,P00439,Purchase,1337,BATCH-3889,SUP110,D39,4/2/2024,48.38,EMP015,PO-2022-02128,,6169
T010851,5/20/2022,P00533,Purchase,2953,BATCH-6321,SUP076,A22,9/27/2024,19.19,EMP040,PO-2022-00031,,9304
T010852,8/30/2023,P01840,Sale,-23,BATCH-8968,,C14,9/12/2025,27.78,EMP016,,,5956
T010853,7/6/2023,P00119,Sale,-68,BATCH-5003,,A47,2/13/2026,49.26,EMP011,,,4654
T010854,10/14/2022,P01863,Transfer,59,BATCH-7193,,B08,5/5/2024,8.93,EMP047,,,7860
T010855,6/14/2023,P00033,Sale,-92,BATCH-5049,,A01,5/3/2026,25.93,EMP017,,,7246
T010856,7/6/2022,P01946,Purchase,1397,BATCH-9608,SUP097,B41,3/12/2023,49.76,EMP008,,,5861
T010857,3/27/2022,P00037,Sale,-73,BATCH-6396,,D06,7/27/2024,4.69,EMP009,,,4022
T010858,6/26/2023,P00230,Purchase,2882,BATCH-8044,SUP008,A03,2/24/2024,28.28,EMP038,PO-2022-00185,,6908
T010859,4/25/2023,P00539,Sale,-74,BATCH-8510,,C17,12/26/2023,46.82,EMP018,,,11523
T010860,2/28/2022,P00680,Sale,-41,BATCH-6125,,B03,5/6/2023,19.46,EMP049,,,1146
T010861,7/13/2022,P01597,Sale,-34,BATCH-1106,,B14,10/18/2023,18.68,EMP047,,,4349
T010862,2/22/2022,P00200,Sale,-71,BATCH-5405,,C15,1/8/2023,39.85,EMP013,,,9208
T010863,11/5/2022,P01041,Sale,-15,BATCH-4675,,C19,7/20/2023,46.71,EMP019,,,9957
T010864,6/12/2022,P00146,Purchase,1276,BATCH-5531,SUP041,C35,6/18/2024,47.56,EMP023,PO-2022-00536,,3017
T010865,2/11/2023,P00603,Return,32,BATCH-6655,,C01,6/7/2025,17.27,EMP002,,RETURN,11927
T010866,12/15/2022,P00370,Sale,-61,BATCH-2584,,C26,1/12/2025,10.82,EMP022,,,9758
T010867,1/25/2023,P00100,Return,5,BATCH-4822,,B15,6/2/2024,33.76,EMP039,,RETURN,3522
T010868,5/30/2023,P00126,Purchase,731,BATCH-1621,SUP103,D04,7/7/2024,19.51,EMP015,PO-2022-04166,,4887
T010869,10/28/2022,P00986,Purchase,503,BATCH-9557,SUP056,D36,5/9/2024,4.57,EMP038,PO-2022-03330,,6064
T010870,8/19/2023,P01401,Return,11,BATCH-1837,,B28,3/2/2025,37.05,EMP025,,RETURN,9177
T010871,3/17/2022,P01965,Purchase,1482,BATCH-9806,SUP069,C29,2/17/2024,21.3,EMP003,PO-2022-01104,,6851
T010872,5/30/2022,P00427,Purchase,1232,BATCH-8985,SUP057,C22,7/21/2023,38.51,EMP029,,,6340
T010873,1/24/2023,P00364,Sale,-1,BATCH-8797,,A07,12/18/2025,16.97,EMP003,,,9837
T010874,4/15/2023,P00031,Purchase,178,BATCH-7502,SUP128,B30,9/30/2024,1.25,EMP041,,,2961
T010875,8/29/2023,P00099,Purchase,1970,BATCH-9913,SUP030,C39,7/24/2025,44.93,EMP013,PO-2022-01439,,4493
T010876,12/29/2023,P00468,Sale,-42,BATCH-7893,,B49,10/10/2024,34.57,EMP044,,,6375
T010877,10/26/2023,P01310,Purchase,864,BATCH-2286,SUP074,D41,2/4/2025,24.61,EMP004,,,7398
T010878,1/1/2022,P00021,Sale,-12,BATCH-6373,,C50,11/5/2022,13.44,EMP014,,,5595
T010879,4/18/2023,P00668,Sale,-40,BATCH-5387,,B05,1/23/2024,14.17,EMP023,,,5796
T010880,9/12/2023,P00229,Return,4,BATCH-3674,,D14,7/8/2025,12.18,EMP033,,RETURN,8021
T010881,12/31/2022,P00493,Purchase,1168,BATCH-1523,SUP130,C19,10/1/2024,44.57,EMP044,PO-2022-03667,,3962
T010882,2/2/2022,P00993,Purchase,1297,BATCH-5129,SUP069,C37,12/27/2024,41.36,EMP035,PO-2022-00064,,16789
T010883,11/24/2023,P00939,Sale,-56,BATCH-2264,,D06,8/12/2025,28.89,EMP023,,,2276
T010884,12/8/2022,P00378,Sale,-20,BATCH-9614,,C47,4/2/2025,4.57,EMP026,,,6117
T010885,10/21/2022,P01596,Purchase,2256,BATCH-8596,SUP066,A24,7/1/2023,40.51,EMP049,,,5323
T010886,11/23/2023,P01253,Purchase,2501,BATCH-4236,SUP121,C06,6/3/2026,16.13,EMP024,PO-2022-01175,,5494
T010887,12/26/2022,P00214,Sale,-37,BATCH-6054,,D35,7/13/2024,6.54,EMP023,,,7126
T010888,4/6/2023,P01615,Purchase,2200,BATCH-5816,SUP084,D17,10/12/2024,25.24,EMP004,,,8065
T010889,11/17/2023,P00219,Sale,-15,BATCH-9909,,A03,10/13/2025,35.08,EMP016,,,9103
T010890,7/15/2023,P01882,Sale,-38,BATCH-1022,,B14,8/30/2025,7.71,EMP021,,,6758
T010891,9/29/2023,P01072,Purchase,2292,BATCH-6324,SUP034,B16,5/2/2026,45.29,EMP009,PO-2022-00378,,3262
T010892,3/27/2022,P00362,Sale,-18,BATCH-3654,,C09,12/14/2022,3.82,EMP038,,,3011
T010893,7/10/2022,P01311,Write-off,-97,BATCH-5761,,B30,12/28/2024,12.7,EMP032,,EXPIRED,5968
T010894,9/20/2022,P00806,Purchase,2495,BATCH-7158,SUP016,C33,4/7/2023,36.11,EMP006,PO-2022-04290,,7574
T010895,10/5/2023,P00181,Purchase,1194,BATCH-3940,SUP057,C48,4/22/2024,12.27,EMP029,PO-2022-03568,,3041
T010896,3/9/2023,P01488,Purchase,2436,BATCH-3233,SUP131,D48,9/30/2024,21.08,EMP023,PO-2022-03333,,6859
T010897,11/19/2023,P00618,Purchase,1673,BATCH-7789,SUP038,B27,9/5/2026,10.15,EMP021,PO-2022-02842,,7339
T010898,3/24/2022,P00315,Purchase,2155,BATCH-7533,SUP121,A08,12/12/2022,5.56,EMP016,PO-2022-02267,,9476
T010899,7/9/2022,P00056,Purchase,720,BATCH-7918,SUP023,B06,10/22/2023,25.31,EMP021,PO-2022-01868,,5857
T010900,2/5/2023,P01818,Purchase,1157,BATCH-9021,SUP136,A10,9/13/2025,32.77,EMP039,,,5699
T010901,9/12/2023,P00847,Sale,-35,BATCH-9668,,A25,9/5/2025,22.12,EMP047,,,8889
T010902,6/7/2023,P01570,Sale,-12,BATCH-5550,,B47,6/28/2024,17.44,EMP026,,,8633
T010903,9/26/2022,P00722,Adjustment,11,BATCH-2320,,C03,3/2/2025,4.95,EMP045,,COUNT_ERROR,2881
T010904,12/1/2022,P01496,Purchase,2884,BATCH-1196,SUP096,B17,5/26/2025,16.66,EMP012,PO-2022-00538,,4781
T010905,4/30/2023,P01602,Sale,-34,BATCH-5094,,C43,8/18/2025,10.88,EMP033,,,6175
T010906,12/7/2023,P00163,Sale,-31,BATCH-9445,,D31,9/26/2026,23.71,EMP030,,,3700
